Time,Open,High,Low,Last,Change,%Chg,Volume
2025-09-04,672.44,672.58,669.46,670.31,-1.84,-0.27%,2502030
2025-09-03,683.37,687.56,669.89,672.15,-15.84,-2.30%,133642332
2025-09-02,684.81,688.91,680,687.99,1.6,+0.23%,140188071
2025-08-29,683.9,688.51,682.73,686.39,3.69,+0.54%,110092678
2025-08-28,678.56,683.83,673.93,682.7,4.64,+0.68%,123602905
2025-08-27,669.29,680.13,669.29,678.06,7.72,+1.15%,124783341
2025-08-26,669.04,671.11,664.34,670.34,-1.37,-0.20%,161404689
2025-08-25,667.73,672.44,666.04,671.71,1.77,+0.26%,104717194
2025-08-22,658.09,671.22,658.09,669.94,13.1,+1.99%,133142158
2025-08-21,650.96,657.95,649.26,656.84,4.62,+0.71%,106611787
2025-08-20,647.98,654.8,647.6,652.22,5.53,+0.86%,126044962
2025-08-19,644.04,650.06,643.11,646.69,-1.21,-0.19%,114914521
2025-08-18,648.06,650.97,644.24,647.9,-3.74,-0.57%,117440240
2025-08-15,652.21,659,649.69,651.64,-1.66,-0.25%,143307162
2025-08-14,652.58,654.21,646.8,653.3,-1.14,-0.17%,130163273
2025-08-13,646.34,654.44,645.11,654.44,7.76,+1.20%,132435701
2025-08-12,646,652.49,643.39,646.68,3.15,+0.49%,125304383
2025-08-11,650.51,652.9,642.84,643.53,-5.13,-0.79%,121936257
2025-08-08,648.44,654.46,644.63,648.66,4.17,+0.65%,136996425
2025-08-07,650.72,657.8,643.84,644.49,-2.5,-0.39%,164196989
2025-08-06,658.62,660.85,645.41,646.99,-5.96,-0.91%,184474516
2025-08-05,651.96,653.57,644.12,652.95,0.74,+0.11%,165066144
2025-08-04,653.74,658.27,649.06,652.21,-2.87,-0.44%,156970185
2025-08-01,664.69,667.04,651.52,655.08,-11.83,-1.77%,168856919
2025-07-31,664.81,674.52,664.81,666.91,-4.02,-0.60%,155051174
2025-07-30,676.18,676.58,667.04,670.93,-9.18,-1.35%,170472785
2025-07-29,674.61,680.62,672.66,680.11,6.44,+0.96%,157647731
2025-07-28,669.81,674.8,669.77,673.67,7.68,+1.15%,135145129
2025-07-25,668.9,670.21,662.86,665.99,-2.66,-0.40%,121083565
2025-07-24,661.21,669.56,659.51,668.65,4.73,+0.71%,176940974
2025-07-23,656.53,664.11,654.92,663.92,10.04,+1.54%,191048881
2025-07-22,649.75,657.34,649.4,653.88,3.4,+0.52%,184123100
2025-07-21,657.22,657.85,649.38,650.48,-6.32,-0.96%,177232365
2025-07-18,667.93,670.49,653.74,656.8,-6.34,-0.96%,238898300
2025-07-17,656.93,664.58,655.46,663.14,2.81,+0.43%,203537099
2025-07-16,665.99,668.5,658.32,660.33,-5.58,-0.84%,160135288
2025-07-15,674.49,676.41,665.13,665.91,-9.08,-1.35%,162058231
2025-07-14,680.75,680.75,671.77,674.99,-8.2,-1.20%,148183404
2025-07-11,678.65,685.27,677.07,683.19,3.28,+0.48%,131551870
2025-07-10,672.88,680.28,668.73,679.91,5.34,+0.79%,135529934
2025-07-09,677.05,678.44,672.6,674.57,-3.38,-0.50%,136138988
2025-07-08,659.92,680.22,659.51,677.95,17.96,+2.72%,198959308
2025-07-07,662.47,665.81,653.45,659.99,-6.65,-1.00%,136380234
2025-07-03,663.9,668.29,663.25,666.64,1.65,+0.25%,77866772
2025-07-02,659.81,666.2,652.26,664.99,11.11,+1.70%,153175868
2025-07-01,649.07,656.86,643.84,653.88,5.2,+0.80%,183304956
2025-06-30,649.3,652.74,647.29,648.68,-4.32,-0.66%,146483799
2025-06-27,655.37,655.58,649.17,653,-3.29,-0.50%,227693212
2025-06-26,648.35,657.78,647.55,656.29,9.72,+1.50%,148532735
2025-06-25,648.53,651.47,645.19,646.57,-2.82,-0.43%,148995533
2025-06-24,649.06,657.1,647.16,649.39,-9.98,-1.51%,199428320
2025-06-23,685.08,685.11,656.75,659.37,-16.98,-2.51%,238428560
2025-06-20,670.8,678.23,670.42,676.35,7.02,+1.05%,314313879
