Time,Open,High,Low,Last,Change,%Chg,Volume
2025-09-04,5215.92,5225.68,5209.68,5221.52,-5.12,-0.10%,48531517
2025-09-03,5221.19,5239.91,5187.04,5226.64,42.75,+0.82%,697671345
2025-09-02,5130.87,5187.28,5113.23,5183.89,-50.68,-0.97%,777499803
2025-08-29,5298.49,5298.49,5218.27,5234.57,-86.83,-1.63%,786812006
2025-08-28,5288.38,5336.61,5255.49,5321.4,34.63,+0.66%,812409759
2025-08-27,5259.51,5294.39,5234.42,5286.77,25.42,+0.48%,710961248
2025-08-26,5237.03,5267.13,5220.84,5261.35,27.53,+0.53%,804783412
2025-08-25,5231.44,5272.66,5213.14,5233.82,-4.47,-0.09%,711438976
2025-08-22,5165.11,5269.48,5146.22,5238.29,68.47,+1.32%,873363506
2025-08-21,5179.44,5199.74,5147.41,5169.82,-20.15,-0.39%,673470763
2025-08-20,5213.49,5213.49,5113.41,5189.97,-40.32,-0.77%,1071464043
2025-08-19,5321.35,5324.85,5220.29,5230.29,-99.98,-1.88%,1054107743
2025-08-18,5323.73,5343.18,5306.62,5330.27,7,+0.13%,774119884
2025-08-15,5355.33,5355.33,5303.07,5323.27,-40.28,-0.75%,1045230761
2025-08-14,5343.19,5381.6,5337.94,5363.55,-1.73,-0.03%,792519578
2025-08-13,5398.83,5410.39,5345.21,5365.28,-10.37,-0.19%,866597955
2025-08-12,5325.57,5376.23,5292.44,5375.65,74.64,+1.41%,826392209
2025-08-11,5321.01,5354.24,5288.04,5301.01,-29.85,-0.56%,869715089
2025-08-08,5286.04,5340.05,5269.76,5330.86,64.45,+1.22%,819285412
2025-08-07,5307.01,5326.99,5225.3,5266.41,21.69,+0.41%,979325341
2025-08-06,5183.3,5253.35,5182.63,5244.72,69.46,+1.34%,949639244
2025-08-05,5232.85,5238.33,5166.24,5175.26,-47.34,-0.91%,869244077
2025-08-04,5164.12,5226.04,5164.12,5222.6,110.08,+2.15%,759851011
2025-08-01,5173.83,5181.74,5087.35,5112.52,-108.17,-2.07%,939526870
2025-07-31,5339.14,5339.14,5197.95,5220.69,-16.07,-0.31%,1034042295
2025-07-30,5223.73,5252.33,5196.23,5236.76,22.34,+0.43%,791700471
2025-07-29,5258.48,5282.9,5208.97,5214.42,-10.94,-0.21%,814828456
2025-07-28,5202.42,5225.37,5193.2,5225.36,39.93,+0.77%,722156766
2025-07-25,5172.89,5200.66,5164.08,5185.43,12.23,+0.24%,788349185
2025-07-24,5159.82,5186.73,5140.37,5173.2,34.34,+0.67%,713397209
2025-07-23,5118.7,5143.37,5083.92,5138.86,37.82,+0.74%,746490122
2025-07-22,5154.24,5154.24,5067.99,5101.04,-55.88,-1.08%,709197153
2025-07-21,5151.13,5194.15,5147.79,5156.92,6.82,+0.13%,613265854
2025-07-18,5167.69,5176.36,5134.2,5150.1,-5.26,-0.10%,643162083
2025-07-17,5115.59,5172.27,5109.05,5155.36,45.51,+0.89%,694718342
2025-07-16,5100.88,5113.56,5042.88,5109.85,13.57,+0.27%,708107854
2025-07-15,5103.28,5121.59,5090.6,5096.28,63.99,+1.27%,811555759
2025-07-14,5035.71,5046.68,4988.92,5032.29,-12.47,-0.25%,657036288
2025-07-11,5027.4,5071.72,5027.4,5044.76,-11.07,-0.22%,664892059
2025-07-10,5074.26,5079.41,5024.63,5055.83,-6.29,-0.12%,732845863
2025-07-09,5038.7,5078.44,5024.14,5062.12,46.9,+0.94%,730117228
2025-07-08,5013.49,5025.36,4996.71,5015.22,19.36,+0.39%,721805429
2025-07-07,5017.1,5033.98,4974.41,4995.86,-40.79,-0.81%,686118356
2025-07-03,4996.39,5048.76,4996.39,5036.65,64.07,+1.29%,525043540
2025-07-02,4905.35,4974.92,4896.93,4972.58,63.83,+1.30%,815463842
2025-07-01,4951.76,4961.66,4883.32,4908.75,-55.89,-1.13%,905708864
2025-06-30,4951.59,4981.26,4925.87,4964.64,48.08,+0.98%,957359205
2025-06-27,4922.35,4950.48,4890.88,4916.56,5.05,+0.10%,1161715672
2025-06-26,4902.75,4922.97,4879.42,4911.51,33.09,+0.68%,856461161
2025-06-25,4846.72,4884.03,4846.72,4878.42,56.93,+1.18%,868248763
2025-06-24,4790.6,4830.22,4786.38,4821.49,76.46,+1.61%,910624809
2025-06-23,4692.11,4750.3,4667.92,4745.03,47.28,+1.01%,825821515
2025-06-20,4724.85,4743.04,4666.2,4697.75,-12.45,-0.26%,1266831717
2025-06-18,4697.75,4730.06,4682.43,4710.2,16.88,+0.36%,756520793
2025-06-17,4704.16,4730.36,4683.4,4693.32,-34.26,-0.72%,785656140
2025-06-16,4689.39,4741.27,4688.01,4727.58,70.98,+1.52%,819244896
2025-06-13,4677.08,4702.01,4639.25,4656.6,-70.79,-1.50%,800594002
2025-06-12,4678.53,4732.25,4678.53,4727.39,47.43,+1.01%,695902576
2025-06-11,4699.44,4722.53,4659.96,4679.96,-13.21,-0.28%,826000928
2025-06-10,4674.69,4700.46,4649.26,4693.17,21.39,+0.46%,803893658
2025-06-09,4676.13,4708.12,4666.7,4671.78,11.5,+0.25%,796054316
2025-06-06,4666.39,4685.79,4647.37,4660.28,35.96,+0.78%,685894217
2025-06-05,4661.72,4693.71,4608,4624.32,-18.56,-0.40%,896482568
2025-06-04,4642.71,4660.53,4625.44,4642.88,10.62,+0.23%,768472253
2025-06-03,4576.85,4636.4,4570.25,4632.26,67.42,+1.48%,841029143
2025-06-02,4516.47,4567.98,4516.17,4564.84,40.43,+0.89%,717995528
2025-05-30,4537.96,4542.76,4452.33,4524.41,-19.41,-0.43%,1311435271
2025-05-29,4604.94,4604.94,4522.08,4543.82,26.69,+0.59%,929944678
2025-05-28,4543.44,4556.32,4512.33,4517.13,-15.56,-0.34%,753197239
2025-05-27,4491.55,4536.55,4481.95,4532.69,112.59,+2.55%,786443222
2025-05-23,4391.69,4451.79,4391.32,4420.1,-59.5,-1.33%,750463692
2025-05-22,4473.3,4514.94,4463.72,4479.6,5.39,+0.12%,723913846
2025-05-21,4515.81,4580.24,4452.18,4474.21,-81.04,-1.78%,869886291
