Time,Open,High,Low,Last,Change,%Chg,Volume
2025-09-04,261.01,261.02,260.74,260.77,0.74,+0.28%,1172574
2025-09-03,260.19,261.08,259.09,260.03,-0.53,-0.20%,72023958
2025-09-02,262.54,263.11,259.73,260.56,-4.61,-1.74%,79000623
2025-08-29,264.02,265.31,264.02,265.17,1.46,+0.55%,68490365
2025-08-28,264.63,264.63,262.47,263.71,-0.69,-0.26%,69856263
2025-08-27,263.63,265.43,263.63,264.4,1.14,+0.43%,72821496
2025-08-26,263.44,264.58,262.38,263.26,-0.85,-0.32%,109703938
2025-08-25,265.2,265.97,263.68,264.11,-1.42,-0.53%,65237416
2025-08-22,262.9,267,262.9,265.53,4.24,+1.62%,85719688
2025-08-21,260.79,262.25,260.32,261.29,-1.01,-0.39%,63782304
2025-08-20,262.27,264.55,261.66,262.3,0.89,+0.34%,86025288
2025-08-19,258.2,261.46,258.2,261.41,4.63,+1.80%,71366337
2025-08-18,259.47,259.58,256.74,256.78,-2.47,-0.95%,63443965
2025-08-15,258.16,260.11,257.52,259.25,1.75,+0.68%,84078161
2025-08-14,257.43,258.02,255.72,257.5,-1.87,-0.72%,64776224
2025-08-13,258.57,259.65,257.04,259.37,1.63,+0.63%,85616281
2025-08-12,257.68,258.2,255.21,257.74,0.57,+0.22%,74455063
2025-08-11,257.95,259.04,257.16,257.17,-1.68,-0.65%,71958911
2025-08-08,260.93,261.71,258.46,258.85,-2.14,-0.82%,61057252
2025-08-07,261.07,261.34,259.33,260.99,1.05,+0.40%,71820540
2025-08-06,262.54,262.81,259.91,259.94,-2.14,-0.82%,94744492
2025-08-05,261.22,262.92,260.18,262.08,0.76,+0.29%,95035073
2025-08-04,259.65,262.1,259.45,261.32,2.1,+0.81%,93390453
2025-08-01,262.29,262.31,257.55,259.22,-0.67,-0.26%,115310980
2025-07-31,263.25,264.27,259.55,259.89,-4.59,-1.74%,137012167
2025-07-30,267.82,268.36,262.91,264.48,-3.84,-1.43%,109954359
2025-07-29,264.49,268.58,264.07,268.32,4.49,+1.70%,94522513
2025-07-28,267.76,267.76,263.69,263.83,-4.7,-1.75%,76452743
2025-07-25,268.8,268.8,265.69,268.53,0.04,+0.01%,84466556
2025-07-24,268.62,269.65,268.06,268.49,-0.28,-0.10%,76768284
2025-07-23,268.53,269.32,267.73,268.77,0.48,+0.18%,73765208
2025-07-22,264.37,268.49,264.21,268.29,4.7,+1.78%,75005078
2025-07-21,264.47,265.26,262.93,263.59,0.93,+0.35%,63120362
2025-07-18,262.25,263.44,261.48,262.66,0.93,+0.36%,65037415
2025-07-17,261.77,262.68,260.67,261.73,-0.41,-0.16%,66156005
2025-07-16,260.6,262.33,259.55,262.14,2.77,+1.07%,77516937
2025-07-15,262.7,263.01,258.69,259.37,-3.41,-1.30%,74556964
2025-07-14,261.06,262.84,260.7,262.78,1.74,+0.67%,75747226
2025-07-11,259.36,261.64,258.64,261.04,-0.18,-0.07%,67669475
2025-07-10,259.95,262.94,259.34,261.22,1.25,+0.48%,74849753
2025-07-09,260.25,260.67,258.89,259.97,-0.06,-0.02%,70444659
2025-07-08,259.26,261.12,259.1,260.03,-0.4,-0.15%,75239554
2025-07-07,262.67,263.98,258.94,260.43,-2.12,-0.81%,74036901
2025-07-03,262.23,263.43,261.36,262.55,0.31,+0.12%,45860622
2025-07-02,261.3,262.81,260.16,262.24,0.43,+0.16%,79377811
2025-07-01,259.74,263.72,259.36,261.81,1.51,+0.58%,96614721
2025-06-30,258.14,260.32,255.24,260.3,1.67,+0.65%,99237298
2025-06-27,258.33,261.13,257.31,258.63,1.12,+0.43%,110621481
2025-06-26,259.12,259.12,254.46,257.51,-1.65,-0.64%,92166346
2025-06-25,264.24,264.24,259.04,259.16,-6.53,-2.46%,95150556
2025-06-24,264.3,266.68,263.46,265.69,1.09,+0.41%,83972801
2025-06-23,261.41,264.79,261.19,264.6,3.89,+1.49%,77552194
2025-06-20,261.39,263.11,260.45,260.71,-0.16,-0.06%,156920669
2025-06-18,260.47,262.68,259.39,260.87,0.36,+0.14%,79657097
2025-06-17,261.32,262.04,259.43,260.51,-1.06,-0.41%,68838080
2025-06-16,262.17,264.68,260.72,261.57,-0.04,-0.02%,68230569
2025-06-13,262.22,263.48,259.74,261.61,-2.58,-0.98%,69460169
2025-06-12,263.23,264.6,262.63,264.19,1.4,+0.53%,64116830
2025-06-11,264.41,265.3,261.77,262.79,-1.44,-0.54%,73681564
2025-06-10,262.7,264.3,262.24,264.23,2.18,+0.83%,73659019
2025-06-09,261.92,263.72,260.18,262.05,-0.18,-0.07%,73533446
2025-06-06,262.42,263.55,261.01,262.23,0.8,+0.31%,69668358
2025-06-05,262.01,262.88,260.29,261.43,-0.19,-0.07%,76155579
2025-06-04,260.08,262.66,259.45,261.62,0.89,+0.34%,68646828
2025-06-03,260.84,261.11,258.67,260.73,-1.03,-0.39%,76281975
2025-06-02,259.87,261.79,257.03,261.76,0.19,+0.07%,65695607
2025-05-30,260.42,262.12,258.87,261.57,0.35,+0.13%,194819391
